Citation,Response,True_label
"In the citrus orchards of São Paulo state, Brazil, it was observed that the D. citri female lays an average of 8.3 eggs per flush shoot (Paiva &amp; Parra 2012).Eggs hatch within 2.6 to 9.7 d, the duration of the nymphal stage varies from 9.4 to 39.6 d, and the biological cycle (egg to adult) varies from 12.1 to 49.3 d at temperatures from 15 to 32 °C (Nava et al. 2007).Egg viability ranges from 81.6 to 96.2 % at 15-32 °C (Liu &amp; Tsai 2000;Nava et al. 2007); nymph viability ranges from 70 to 77.5 % at 18-30 °C; however, it is dramatically reduced (only 7 %) at a constant temperature of 32 °C (Nava et al. 2007).At 15 to 33 °C, female longevity varies from 88.3 to 28.7 d and is 38 % higher than male longevity (Liu &amp; Tsai 2000; @@CITATION@@ .Overall, the optimum temperature range for population growth of D. citri is between 25 °C and 28 °C (Liu &amp; Tsai 2000). This psyllid is well-adapted to humid and warm weather, but it may survive in cold, including freezing temperatures (Hall et al. 2011). In part, this fact explains why D. citri is currently present in most continents, with the exception of Europe (CABI 2020). ","1. Support
2. Neutral
3. Similar",neutral
"P. prunorum' (Danet et al. 2011).Moreover, differences in strain virulence were described by Kison and Seemüller (2001) and others.Danet et al. (2011) and recently Dermastia et al. (2018) could correlate the aceF type A6 to hypo-virulent strains which induce no or only mild symptoms in Prunus.We contributed 22 German isolates covering 5 stone fruit growing regions with 16 apricot or peach orchards to the MLST analysis of @@CITATION@@ .Eight different haplotypes of 'Ca. P. prunorum' were identified. The main haplotype aceF A3-pnp P1-imp I1-secY S1 was found in all regions and was identified by Dermastia et al. (2018) as founder haplotype of 'Ca. ","1. Usage
2. Support
3. Similar",usage
"Differences observed in symptom expression by different CaLsol haplotypes could be related to distinct CaLsol titres in the infected plants, potato cultivars used as recipient plant or haplotype-host interactions.In fact, haplotype C titres in asymptomatic potato were comparable to those obtained from symptomatic plants infected with haplotypes A and B, suggesting that the downward movement of haplotype C in potato phloem is slower than that of the American haplotypes A and B (Haapalainen et al. 2018).Moreover, in the same work, attempts to transmit CaLsol (haplotype C) to potato by T. apicalis were not successful, result that could be easily explained because potato is not a host plant for T. apicalis.By contrast, B. nigricornis is known to be able to properly feed from the phloem and colonize potato crops (Fathi et al. 2011; @@CITATION@@ , which facilitates the transmission of phloemrestricted pathogens.Further studies are needed to answer all these questions concerning the CaLsol haplotypes-psyllid species-host plant interactions and the CaLsol epidemiology. The vector propensity of B. nigricornis from potatoto-potato plants was also assessed in an additional study. Potato (cv. ","1. CoCoRes
2. Motivation
3. Support",neutral
"South Haven' were grown on peach seedlings cv. 'South Haven' were grown on peach seedlings cv.  'Montclar' (non-infected control, n = 4).Additional apple, pear and peach plants were inoculated by grafting of two buds from trees infected with the respective phytoplasma.Apple trees were infected with a virulent accession (3/6, n = 13) in 2017 @@CITATION@@ [78][79].Pear trees were infected with 'Ca. P. pyri' (PD-W, n = 5) in 2012 (Table 5). This strain causes mild symptoms but no quick decline [9], peach trees were infected with 'Ca. ","1. Usage
2. Support
3. Neutral",neutral
"Trioza erytreae (Del Guercio 1918) CITRUS Cacopsylla citrisuga (Yang &amp; Li 1984) Diaphorina communis (Mathur 1975) Bactericera cockerelli (Šulc 1909) SOLANACEAE Bactericera trigonica (Hodkinson 1981) Trioza apicalis (Foerster 1848) APIACEAEHLB is the most destructive citrus disease worldwide, due to the severity of symptoms, potential for disease progression, and susceptibility of all commercial citrus varieties @@CITATION@@ .In addition to a reduced fruit quantity and quality (Baldwin et al. 2010), HLB causes indirect losses due to the high costs involved in disease management (Bové 2006;Gottwald 2010). Successful management of HLB depends on the knowledge of the relationships between the pathogen, the insect vectors, host plants, and the environment (Bové 2006). These bacteria are phloem-restricted and their natural spread depends on two psyllid species, D. citri and T. erytreae, which are the only known vector species transmitting the three bacteria species causing HLB. ","1. Support
2. Basis
3. Neutral",neutral
"They are also present in other hemipteran insects (Forbes, 1969;Ullman and McLean, 1986;Zhao et al., 2010;Garzo et al., 2012).The number of protrusions varies among different species, which may be related to the hardness of the leaves of the host plant (Forbes, 1977;Rosell et al., 1995;Zhao et al., 2010;Garzo et al., 2012).On the distal extremity of each mandibular stylet tip more than 10 parallel barb-like ridges can be seen in C. chinensis (Fig. 7D).nan @@CITATION@@ and Garzo et al. (2012) also observed the same number of teeth on the mandibles of the psyllids C. pyricola and Diaphorina citri respectively, whereas Pollard (1970) found 8 teeth in adults (7 teeth in nymphs) on the mandibles of C. mali.These tooth-like protrusions on the lateral side of mandibular stylets are used to stabilize the maxillary stylets during probing and hold onto host tissues, serving as a fulcrum for the movement of the maxillae (Cobben, 1978;Leopold et al., 2003). The mandibular stylets of C. chinensis are similar to those of other studied Sternorrhyncha, in which they are not mirror images of each other but are reversed in relation to each other in orientation (Forbes, 1977;Cobben, 1978;Freeman et al., 2000;Garzo et al., 2012). Moreover, the inner surface of the mandibular stylets and the outer surface of the maxillary stylets are both smooth (Fig. 7F andG), thus contributing to the alternating protractions of the mandibular stylets followed by protraction of the maxillary stylets when in use (Forbes, 1977). ","1. Similar
2. Support
3. Neutral",cocoxy
"Total DNA used in this study was purified from plants and insects based on the method of Liu et al. (2007a).To amplify the full length of the 16S rDNA sequence and the 16S-23S rDNA ISR of phytoplasma that is associated with pear decline in Taiwan from plants or the insect vector, C. chinensis, a PCR or semi-nested PCR, was performed.In direct PCR or the first amplification of semi-nested PCR, the universal phytoplasma primers P1/ P7 @@CITATION@@ Schneider et al., 1995) were used.In the second amplification of semi-nested PCR, the reverse primer L1n was used (Liu et al., 2007a). The PCR and the semi-nested PCR were performed as described by Liu et al. (2007a). The PCR products were cloned using a TOPO TA cloning kit (Invitrogen, San Diego, CA) and the inserted fragments were sequenced (Mission Biotech, Taipei, Taiwan). ","1. Usage
2. Support
3. Neutral",usage
"Besides the direct and local defence mechanisms, an activation and systemic distribution of signalling compounds such as phytohormones via the SEs, may be induced by phytoplasmas and may have an impact on the plant's defence.Moreover, typical symptoms, such as development of witches' brooms, smaller fruits, reduced leaf and vascular morphology of diseased apple trees, can be explained with an infection-induced imbalance of phytohormones @@CITATION@@ .In apple and peach trees, SA and JA-Ile levels significantly increased in infected trees, indicating the involvement of defence pathways to phytoplasma colonization. Furthermore, the content of ABA in apple leaves increased as well. Commonly, SA plays the central role for the interaction between biotrophic pathogens and host plants [62,63] and an increase of SA in apple trees after Ca. ","1. Support
2. Similar
3. Neutral",neutral
"Shu-Ling LIU 1 , Hsiu-Lin LIU 1 , Shu-Chen CHANG 2 , and Chan-Pin LIN 1, * with pear decline in Taiwan (Liu et al., 2007b;Yang et al., 2004).In a study that monitored PDTW phytoplasma in C. chinensis from 2003 to 2006, partial rDNA sequences of a phytoplasma of group 16SrII (741 bp) and sequences of PDTW phytoplasma were frequently identified in individual psyllids (Liu et al., 2007b).According to restriction fragment length polymorphism (RFLP) analysis, the causative agent of pear decline in southern Australia is the sweet potato little leaf (SPLL) phytoplasma, which belongs to the 16SrII group (Schneider and Gibb, 1997).The symptoms of phytoplasma-affected pears (Pyrus communis) in Australia are not of curling and reddening leaves (Agrios, 2005) but of decline and dieback @@CITATION@@ .Whether the sequences of the 16SrII phytoplasma found in C. chinensis indicate the existence of group 16SrII-pear decline phytoplasma in Taiwan has thus become a relevant concern. Leaf redness and curling followed by progressive weakening and wilt of P. serotina Rehd. cv. ","1. Neutral  
2. CoCoRes  
3. CoCoXY",neutral
"Bactericera nigricornis is a polyphagous species that can feed and reproduce in both Solanaceae and Apiaceae among other families.This species has been found on both carrot (Daucus carota L.) and potato crops in Europe (see section on CaLsol vectors in Apiaceae for a complete description of the species).Thus, B. nigricornis could potentially transmit CaLsol from carrot to potato crops and viceversa.Although eggs and immatures B. nigricornis are rarely observed during visual inspections in the field, the reproduction and presence of this psyllid species on potato crops has been confirmed (Hodkinson et al. 1981; @@CITATION@@ ) and has been reported to cause severe yield losses in Iran (Fathi et al. 2011).Although CaLsol-positive adults of B. nigricornis have been found in potato crops in Spain, the role of this species in transmitting the bacterium to potato was never demonstrated (Teresani et al. 2015). Accordingly, a study of the possible role of B. nigricornis as a vector of CaLsol on potato was strongly needed because of the important economic losses in the carrot and potato industry associated with pathogen spread (Liefting et al. 2009;Munyaneza 2010;Munyaneza et al. 2010a;2012;2015;Alfaro-Fernández et al. 2012a;2012b;Bertolini et al. 2015;Munyaneza 2015). For this reason, we conducted a series of transmission experiments under controlled conditions at ICA-CSIC (Madrid, Spain) to evaluate the transmission rate of CaLsol (haplotype E) by B. nigricornis in carrot and potato plants. ","1. Motivation
2. Support
3. Future",neutral
"Even though the percentage of infected summerform pear psylla determined by hybridization analysis was low, when huge population increases occur, which happened in the summer of 1997 in orchards CV and FH2, the corresponding increase in numbers of infected insects may result in greater transmission of PD to healthy trees within an orchard.More PD phytoplasmas were detected in psylla by PCR than hybridization analysis, a result that agrees with other studies.Grapevine yellows-infected periwinkle was detected by PCR with 10 -6 less DNA than was required for detection by DNA hybridization analysis (6).Comparing the detection of grapevine yellows phytoplasma in planthoppers, only 66% of the PCR positives were also positive by enzyme-linked immunosorbent assay @@CITATION@@ .PCR Fig. 7. Histograms representing the distribution of the estimated numbers of pear decline phytoplasmas in hybridization-positive pear psylla populations collected in the Central Valley (CV) and Sierra foothills (FH1 and FH2) orchards over the study period. For psylla collected in the months when both forms were found, those collected in September were considered summerform, and those collected in October and November were considered winterform. Note the different scales on the y axis for FH2. ","1. CoCoRes
2. Similar
3. Support",cocores
"In the last two decades, several papers were dedicated to various aspects of the biology and control of C. pyricola in Korea (Kang et al. 2012;Kim et al. 2000Kim et al. , 2007;;Park et al. 2013;Park et al. 2016).Recently, Cho &amp; Lee (2015) reported Cacopsylla chinensis from Korea, analysing nucleotide sequences.They found that Korean populations are similar to Japanese ones but differ from Chinese and Taiwanese populations.From the Russian Far East, finally, three species associated with pear are reported to date @@CITATION@@ ): the west Palaearctic C. pyricola and C. pyrisuga, and the native Psylla nigrella Konovalova.In summary, 27 nominal species of pear psyllids are currently known from China (Li 2011;Luo et al. 2012), three from Japan (Inoue 2010;Inoue et al. 2012), six from Korea (Park 1996;Cho &amp; Lee 2015;Kwon et al. 2016), three from the Russian Far East (Gegechkori &amp; Loginova 1990) and eight valid species from the west Palaearctic, Middle East and Central Asia (Burckhardt &amp; Hodkinson 1986) (Table 1). Despite previous taxonomic revisions (Burckhardt &amp; Hodkinson 1986;Luo et al. 2012), species identification of pear psyllids remains difficult and the literature is plagued with misidentifications. In general, the significance of seasonal dimorphism has not been taken sufficiently into account, the names of west Palaearctic taxa have been used uncritically and relationships between faunas from different countries have been ignored. ","1. Neutral
2. CoCoGM
3. Weakness",neutral
"However, the fragment size was different for each phytoplasma (Berg et al., 1999).Southern blot analysis also revealed sequence heterogeneity between isolates of the AP phytoplasma.After hybridization of HindIII-digested DNA from 34 isolates of the AP agent with HindIII fragments IH184 and IH196, five different RFLP patterns were observed.Two of them were represented by strains AT and AP15 R @@CITATION@@ Kison et al., 1994).These two genotypes correspond to PCR-RFLP subtypes AT-1 and AP of Jarausch et al. (2000b). Sequence heterogeneity within the AP agent was also observed when HindIII-digested DNA from three AP phytoplasma isolates was hybridized with a 5 kbp probe from an aster yellows phytoplasma, which comprised part of an rDNA operon and a 2?8 kbp upstream region. In this case, each strain showed a different RFLP pattern (Schneider &amp; Seemu ¨ller, 1994a). ","1. CoCoRes
2. Support
3. Neutral",neutral
"Candidatus Liberibacter solanacearum is an intracellular phloem-limited bacterium that infects and replicates in the sieve elements of plants as well as in different organs and tissues of its psyllid vectors @@CITATION@@ Haapalainen 2014;Perilla-Henao &amp; Casteel 2016).Psyllid feeding behavior plays a key role in the horizontal transmission of CaLsol (Antolínez et al. 2017a). The CaLsol transmission is a complex and slow process that includes various steps (acquisition, latency period, and inoculation). The process is known as circulative-propagative as it requires the pathogen to circulate through the gut to reach the psyllid hemolymph and then reach the salivary glands. ","1. Usage
2. Support
3. Neutral",neutral
"The distribution of secondary compounds plays a crucial role in plant communication and the induction of defence mechanisms against invading pathogens and attacking herbivores.It was previously shown that phytoplasmas produce and secrete effector proteins into phloem sap that circulate to distal tissues and induce physiological changes in infected host plants [22].A number of non-specific symptoms, such as chlorosis, leaf yellowing, premature reddening, swollen leaf-veins, leaf curl and reduced vigour might be attributed to the impairment of the vascular system and the photosynthesis apparatus [23,24].Additionally, abnormal growth, stunting, growth of witches' brooms, reduced root size and dwarf fruits occur in phytoplasma infected plants indicating a disturbed hormone balance [25, @@CITATION@@ .Phytohormones are induced in reaction to abiotic and biotic stresses and lead to the induction of defence responses [27]. The influence of phytoplasma infections on salicylic acid, jasmonates, auxins, abscisic acid, ethylene and cytokinine biosynthesis and pathways was recently reviewed by Dermastia [26], illustrating the diverse and complex interactions between the specialized pathogens and their host plants. In the case of phytoplasmas, the impact on vector insects that are crucial for the distribution of phytoplasmas, has to be taken into consideration. ","1. Similar
2. Support
3. Neutral",neutral
"Some authors tentatively allocated phytoplasmas to family Acholeplasmataceae because, according to previous molecular phylogenies, they form a distinct clade derived from within the genus Acholeplasma (Martini et al., 2014).Phytoplasmas were first observed using microscopy in 1967 (Doi et al., 1967) but, because they are very difficult to culture in vitro, their great diversity only began to be revealed in the 1990s through development of molecular techniques for characterizing groups and subgroups (Namba et al., 1993).This classification method was based on phylogenetic analysis of 16S rRNA, with other more variable genetic loci used for finerscale characterization.Thus, phytoplasmas are currently organized into phylogenetic groups, each designated by a Roman numeral, and different strains within a group are given a separate letter designation defining the subgroup (currently more than 120) (Lee et al., 2010; Martini et al., 2007; @@CITATION@@ Zhao et al., 2009).Previous research on Tenericutes phylogeny has mostly relied on the sequences of the 16S rRNA gene. These indicate that Mollicutes are a well-supported monophyletic entity (Ludwig and Klenk, 2001) having diverged from a Gram-positive ancestor by regressive evolution (Razin et al., 1998). Early 16S phylogenies characterized five phylogenetic groups and 16 phylogenetic clusters (Pettersson et al., 1996;Weisburg et al., 1989). ","1. Neutral
2. CoCoRes
3. Basis",neutral
"Hundreds of AP-group phytoplasma isolates from various locations in European countries and California, including the ESFY agent taken from several Prunus species, have been examined to date by using these differentiation approaches.With the above-mentioned restriction enzymes and several others, no variation among the different AP-group phytoplasmas was observed.DNA derived from randomly cloned fragment IH196 of strain AT, amplified with several primer pairs (Bonnet et al., 1990), also proved to be useful for AP-group phytoplasma characterization and differentiation.Work by Jarausch et al. (1994 Jarausch et al. ( , 2000a @@CITATION@@ showed that this fragment contains three ORFs, including a putative nitroreductase gene.Restriction enzyme digestion with RsaI and HincII of a product obtained with primers AP9/AP10 enabled the differentiation of AP from PD and ESFY agents. All three phytoplasmas could be distinguished from each other by digestion of an AP3/AP10 amplicon with these enzymes. One hundred and seventy-five ESFY phytoplasma isolates, which were collected from many Prunus species and hybrids in four Mediterranean countries, responded identically in this work. ","1. Usage
2. Support
3. CoCoGM",neutral
"The sharp end and the abundant protrusions of the mandibular stylets are structures specialized to pierce plant tissues while probing.They are also present in other hemipteran insects (Forbes, 1969;Ullman and McLean, 1986;Zhao et al., 2010;Garzo et al., 2012).this may be related to the absence in this species of the common duct located at the distal tip of the interlocked maxillary stylets.The number of protrusions varies among different species, which may be related to the hardness of the leaves of the host plant @@CITATION@@ Rosell et al., 1995;Zhao et al., 2010;Garzo et al., 2012).On the distal extremity of each mandibular stylet tip more than 10 parallel barb-like ridges can be seen in C. chinensis (Fig. 7D). Ullman and Mclean (1986) and Garzo et al. (2012) also observed the same number of teeth on the mandibles of the psyllids C. pyricola and Diaphorina citri respectively, whereas Pollard (1970) found 8 teeth in adults (7 teeth in nymphs) on the mandibles of C. mali. ","1. Similar
2. CoCoGM 
3. Neutral",neutral
"The antisera and dot blot technique for rapid diagnostic of MLOs were evaluated on numerous extracts of infected plants and insects.The following MLOs were selected and listed below from 1 to 6, spotted on nitrocellulose stripes and detected by indirect ELISA with secondary markers goat anti-rabbit IgG-PA or goat anti-rabbit colloidal gold.1. Pear decline MLO purified from Capsicum annum L.(cultivar) artificially infected by the vector Cacopsylla pyri (2003); 2. Pear decline MLO purified from petioles and midribs of pear leaves (2004; 3. Pear decline MLO purified from Capsicum annum L.(cultivar) artificially infected by the vector Cacopsylla pyri, (2003); 4. Aster yellows MLO isolated from barley and purified from host plant Catharanthus roseus, (2003); 5. Apple proliferation AP15 (Germany) purified from Catharanthus roseus, (2004).6. MLO purified from the vector Cacopsylla pyri, (2002) @@CITATION@@ (2004);The results with the MLOs listed from 1 to 6 are illustrated in figure 2. The number on stripes correspond with number in list. Antiserum anti AY MLO, produced in rabbits in 1988MLO, produced in rabbits in , 1992MLO, produced in rabbits in and 1993, using as antigen the AY MLO, isolated in axenic culture, detected both AP15 (stripe 1) and AY (stripe 2) when goat anti-rabbit IgG-Gold as secondary antibodies were used. By symptoms in periwinkle AP15 from Germany and AY from barley were identical, inducing virescence and proliferation (figure 1,B,D). ","1. Usage
2. Neutral
3. Support",neutral
"When feeding, it cuts into the tissues of host plants in order to suck sap, thereby injuring the leaves and stems of its host plants.The adult mouthpart morphology of C. chinensis is generally similar to that of other sternorrhynchan species described previously (Pollard, 1973;Tavella and Arzone, 1993;Rosell et al., 1995;Boyd, 2003;Wiesenborn, 2004;Rani and Madhavendra, 2005; Anderson et al., 2006;Garzo et al., 2012), consisting of a three-segmented labium which lies between the prothoracic coxae of the first and second pair of legs with a deep groove in the anterior side, a moderate number of sensilla, a stylet fascicle consisting of two mandibular and two maxillary stylets which are conjoined together forming a food canal (Fc) and a salivary canal (Sc), and a triangular labrum.The gross mouthpart morphology of C. chinensis is also very similar to that of the psyllids Diaphorina citri Kuwayama (Garzo et al., 2012) and Cacopsylla mali Schmidberger (Grove, 1919;Pollard, 1970), but not identical.The stylet fascicle of C. chinensis comprises a pair of mandibular stylets located externally which house a pair of maxillary stylets, as observed in aphids (Forbes, 1969 (Forbes, , 1977;; Pollard, 1973) and other psyllids, including C. mali (Grove, 1919; Pollard, 1970), C. pyricola @@CITATION@@ and D. citri (Garzo et al., 2012).The stylet fascicle proximal to the labium forms a large loop within a membranous crumena (Fig. 2B). The stylet fascicle is coiled under tension when fully retracted and stylet extension generates increasing tension so that the stylets readily recoil within the crumena when retracted (Ullman and McLean, 1986; Garzo et al., ","1. Similar
2. Support
3. Usage",neutral
"A large number of Cacopsylla species feeding on pear have been recorded in the Palearctic zone (Cho et al. 2017).Apart from weakening the trees by excessive sap sucking and spoiling the fruits by secreting honeydew (Cho et al. 2017), several species have been associated with transmission of 'Ca.P. pyri'.Successful phytoplasma transmission experiments with C. pyricola (Foerster, 1848) as vectoring species have been carried out in North America (Jensen et al. 1964) and the UK @@CITATION@@ .The vectoring ability of C. pyri (Linné, 1758) was confirmed by transmission tests in France, Italy and Spain (Lemoine 1991;Carraro et al. 1998;Garcia Chapa et al. 2005). In addition, two other psyllids, namely C. pyrisuga (Foerster, 1848) and C. bidens (Šulc, 1907) have been found to carry the phytoplasma, but successful transmission experiments have not been reported so far (Jarausch et al. 2019a). In Austria, three confirmed or putative phytoplasma vectors, namely C. pyri, C. pyricola and C. pyrisuga, have been recorded (Lethmayer et al. 2011). ","1. Support
2. Similar
3. Neutral",neutral
"Trioza erytreae (Del Guercio 1918) CITRUS Cacopsylla citrisuga (Yang &amp; Li 1984) Diaphorina communis (Mathur 1975) Bactericera cockerelli (Šulc 1909) SOLANACEAE Bactericera trigonica (Hodkinson 1981) Trioza apicalis (Foerster 1848) APIACEAETrioza anthrisci (Burckhardt 1986) Bactericera nigricornis (Foerster 1848) POLYPHAGOUS destructive citrus disease worldwide, due to the severity of symptoms, potential for disease progression, and susceptibility of all commercial citrus varieties (Bové 2006).In addition to a reduced fruit quantity and quality (Baldwin et al. 2010), HLB causes indirect losses due to the high costs involved in disease management (Bové 2006;Gottwald 2010).Successful management of HLB depends on the knowledge of the relationships between the pathogen, the insect vectors, host plants, and the environment @@CITATION@@ ).These bacteria are phloem-restricted and their natural spread depends on two psyllid species, D. citri and T. erytreae, which are the only known vector species transmitting the three bacteria species causing HLB. ","1. Motivation
2. Support
3. Neutral",neutral
"In order to understand the different symptom manifestation in the three closely related pathosystems, we explored how infections with specific fruit tree phytoplasmas ('Ca.P. mali', 'Ca.P. pyri' and 'Ca.P. prunorum') of the 16SrX group [11], changed important morphological and physiological parameters of their respective host plants, all Rosaceae @@CITATION@@ .We measured various parameters such as leaf morphology, plant vascular morphology, and callose deposition, determined physical phloem parameters (mass flow velocity and volumetric flow rate, relative density and dynamic viscosity), and analysed the content of several phytohormones in leaf tissues of healthy and phytoplasma-infected plants. The importance of measured parameters for symptom manifestation as well as the impact on vector insects, the epidemiology and phytoplasma spread is discussed. ","1. Usage
2. Support
3. Neutral",neutral
"Further analysis with additional calibration points may be expected to improve the divergence time estimates presented here.Interestingly, the basal divergence in the crown clade of phytoplasmas (315.80Ma; Fig. 1, node 50) corresponds to recent date estimates for the rise of seed plants (Spermatophyta) 289-365 Ma (Kumar et al., 2017;Morris et al., 2018) and hemipteran insects ~300-386 Ma (Johnson et al., 2018).Subsequently, a few additional divergences of major phytoplasma lineages occurred between the Carboniferous and the Cretaceous but most of the recognized modern 16Sr phytoplasma groups did not appear until later in the Cretaceous or during the Cenozoic, after the radiation of angiosperms (168-246 Ma; Kumar et al., 2017; @@CITATION@@ was underway.Many of the numbered 16S groups radiated between 20 and 50 Ma. relative is dated at 120 Ma and the divergence of the extant lineages of these plants began between 110 and 97 Ma (Anderson and Janssen, 2009). The known vectors of the two subclades in phytoplasma group IV belong to Fulgoroidea (planthoppers) which emerged ~200 Ma (Johnson et al., 2018), well before the estimated time of emergence of this phytoplasma lineage. ","1. CoCoRes
2. CoCoGM
3. Neutral",neutral
"Most data on which these taxonomic descriptions are based were generated previously.Additional work was carried out as follows.Sequence and RFLP analyses of ribosomal fragments were performed by using rDNA that was amplified with the primer pair P1/P7 (Deng &amp; Hiruki, 1991;Schneider et al., 1995) and extended from the 59 end of the 16S rRNA gene to the 59 region of the 23S rRNA gene, thus including the 16S-23S rDNA spacer region.RFLP analysis was carried out as described previously (Lorenz et al., 1995; @@CITATION@@ .For sequencing of strains AP1/93, PD1, ESFY-G1 R and ESFY-G2 and resequencing of strains AT and AP15 R , P1/P7 amplicons were cloned by using the pGEM-T vector system (Promega). Sequencing of both strands was done by a commercial service (SEQLAB, Go ¨ttingen, Germany) by using M13 forward and reverse primers and six primers that were complementary to conserved 16S rDNA regions (Seemu ¨ller et al., 1994). Sequencing data obtained with these primers usually provided threefold coverage of the sequences. ","1. Usage
2. Support
3. Neutral",basis
"The level of polyphagy in this group is exceptional among Psylloidea, which are usually host-specific (Hodkinson 1974).Bactericera nigricornis is present in many countries (Ouvrard et al. 2020) but little is known about its biology and dispersal ability, although it has been reported overwintering on conifers (Cermák et al. 2008).Further research on the life cycle of this species in Apiaceae crops is needed to identify its overwintering hosts and migration habits from wild host species under Mediterranean conditions.Regarding the capability of B. nigricornis to transmit CaLsol, previous field work has shown that B. nigricornis can become naturally infected with CaLsol haplotype E @@CITATION@@ 2015), so further research to assess the vector efficiency of this psyllid species was needed.Thus, we conducted a study at ICA-CSIC (Madrid, Spain) to test the ability of B. nigricornis as a vector of CaLsol (haplotype E) in carrot crops. Adult B. nigricornis individuals were tested for the transmission of CaLsol using carrots as source and receptor plants. The same transmission protocol described above to assess the vector propensity of B. nigricornis in potato was used. ","1. Motivation
2. Support
3. Future",motivation
Captured psyllids were frozen at -20 °C and C. pruni identification was done using different determination keys (Ossiannilsson 1992;Burckhardt and Jarausch 2007).Molecular detection of 'Ca.P. prunorum' in plant samples Phloem was prepared from 1 to 3 branches per plant sample and total nucleic acids were extracted with a modified CTAB-based protocol as described by Jarausch et al. (2011).All plant samples were tested with the 16SrX group specific primers fO1/rO1 as published by @@CITATION@@ .Identification of 'Ca. P. prunorum' was done with specific primers ESFY-f/ESFY-r as described by Yvon et al. (2009). In samples with low phytoplasma concentration which gave only a faint band in direct PCR with primers fO1/rO1 the following nested PCR approach was adopted for 'Ca. ,"1. Usage
2. Support
3. Neutral",usage
"To overcome the absence of a fossil record for most prokaryotes, secondary calibrations and divergence times of hosts are often employed in the estimation of microbial evolutionary history (Chriki-Adeeb and Chriki, 2016;Gruen et al., 2019).Previous studies on the divergence times of Mollicutes (Marin et al., 2016;Sheridan et al., 2003;Sjöstrand et al., 2014) and multilocus genetic characterization of FDp and FD-rp strains supporting the assumption of recent divergences of FDp (Angelini et al., 2003;Arnaud et al., 2007;Malembic-Maher et al., 2017), provided an opportunity to illuminate the evolutionary history of phytoplasmas.In this paper, times of origin and major divergences of phytoplasmas were estimated using the 16S rRNA gene.This molecular marker has been widely used for phylogenetic and taxonomic classification of prokaryotes @@CITATION@@ .Our initial timetree estimate, using calibrations of deeper nodes only (Fig. 1, blue arrows), suggested the divergence between the most recent common ancestor of phytoplasmas and A. palmae + A. parvum occurred ~614.55 Ma. In a previous study that attempted to infer times of origin of various bacterial lineages based on known geological events without incorporating information on molecular divergence, the split between phytoplasma and Acholeplasma clade was dated much later (180 Ma; Maniloff, 2002). In our tree, the crown clade of the phytoplasmas was dated ~302.90 ","1. Usage
2. Support
3. CoCoRes",usage
"The insects of the new generation feed on the reproduction hosts until the beginning of July when they leave the stone fruits as adults to move to overwintering hosts (Thébaud et al. 2009).The phytoplasma multiplies during winter in the psyllid making the returning migrants highly infective.The disease spread is regarded to be monocyclic (Thébaud et al. 2009;Jarausch et al. 2013).The natural infection rate of C. pruni varies according to the region: in France, Germany and Bulgaria low infection rates between 1 and 3% were observed (Yvon et al. 2004; Jarausch et al. 2007a, b; Thébaud et al. 2008; @@CITATION@@ , whereas from Italy (Carraro et al. 2004) and Austria (Maier et al. 2013) rates of more than 10% were reported.Nation-wide surveys for the presence of ESFY disease have only been conducted in stone fruit growing areas, e.g. in France (Jarausch et al. 1998), Turkey (Ulubaş Serçe et al. 2006), Spain (Sabaté et al. 2015) or Bulgaria (Etropolska et al. 2015), and confirmed a wide-spread presence of ESFY in orchards of susceptible species like apricots, Japanese plum and peach. During a survey between 2000and 2006, Jarausch et al. (2007b) ) could show that 'Ca. P. prunorum' as well as its vector, C. pruni, were present on all cultivated Prunus species in several stone fruit growing regions in Southwestern Germany. ","1. Support
2. Similar
3. Neutral",cocoxy
"COI and COII sequences translation was checked in MEGA 6 (Tamura et al., 2013) for the presence of in-frame stop codons and indels, which can indicate nuclear mitochondrial pseudogenes (NUMTs), generally known to be an impediment to DNA barcoding (Song et al., 2008;Leite, 2012).For the aligned data set, phylogenetic trees were constructed using the neighbour-joining (NJ) algorithm with bootstrap support analysis (1000 replicates) in MEGA 6 based on a Kimura 2-Parameter (K2P) model.This has been the most widely used method for DNA barcoding analyses (e.g.Yeh et al., 1997; Shin et al., 2013; Gwiazdowski et al., 2015; @@CITATION@@ Amouroux et al., 2017;Kanturski et al., 2018;Song et al., 2018), including previous studies on pear psyllids (Lee et al., 2008;Kang et al., 2012;Katoh et al., 2013Katoh et al., , 2014;;Chen et al., 2018).To compare our results with those papers, we preferred to use the same methodology despite some potential limitations, such as a poor fit of the K2P model at the species level (Srivathsan and Meier, 2012;Collins et al., 2012). Eleven pear psyllid species of the genus Cacopsylla (Psyllidae: Psyllinae) were included into the analyses and two Acizzia species (Psyllidae: Acizzinae) were used as outgroups (table 1). Pairwise distances were also computed using MEGA 6 (Tamura et al., 2013). ","1. Usage
2. CoCoGM
3. Support",usage
